"","sample_id","Condition","Specification","experiment","strain","round","sorted"
"Unknown_BZ931-001T0068","24TG06_IND_1","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0069","24TG06_IND_2","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0070","24TG06_IND_3","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0071","24TG06_IND_4","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0072","24TG06_IND_5","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0073","24TG06_IND_6","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0074","24TG06_IND_7","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0075","24TG06_IND_8","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0076","24TG06_IND_9","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0077","24TG06_IND_10","pIND",NA,"24TG06","IND",NA,NA
"Unknown_BZ931-001T0088","24TG06_Rp_pR10_21","Rp_R10_pos",NA,"24TG06","Rp","R10","pos"
"Unknown_BZ931-001T0089","24TG06_Rp_pR10_22","Rp_R10_pos",NA,"24TG06","Rp","R10","pos"
"Unknown_BZ931-001T0090","24TG06_Rp_pR10_23","Rp_R10_pos",NA,"24TG06","Rp","R10","pos"
"Unknown_BZ931-001T0091","24TG06_Rp_pR10_24","Rp_R10_pos",NA,"24TG06","Rp","R10","pos"
"Unknown_BZ931-001T0092","24TG06_Rp_pR10_25","Rp_R10_pos",NA,"24TG06","Rp","R10","pos"
"Unknown_BZ931-001T0093","24TG06_Rp_nR10_26","Rp_R10_neg",NA,"24TG06","Rp","R10","neg"
"Unknown_BZ931-001T0094","24TG06_Rp_nR10_27","Rp_R10_neg",NA,"24TG06","Rp","R10","neg"
"Unknown_BZ931-001T0095","24TG06_Rp_nR10_28","Rp_R10_neg",NA,"24TG06","Rp","R10","neg"
"Unknown_BZ931-001T0096","24TG06_Rp_nR10_29","Rp_R10_neg",NA,"24TG06","Rp","R10","neg"
"Unknown_BZ931-001T0097","24TG06_Rp_nR10_30","Rp_R10_neg",NA,"24TG06","Rp","R10","neg"
"Unknown_BZ931-001T0098","24TG06_Rp_pR20_31","Rp_R20_pos",NA,"24TG06","Rp","R20","pos"
"Unknown_BZ931-001T0099","24TG06_Rp_pR20_32","Rp_R20_pos",NA,"24TG06","Rp","R20","pos"
"Unknown_BZ931-001T0100","24TG06_Rp_pR20_33","Rp_R20_pos",NA,"24TG06","Rp","R20","pos"
"Unknown_BZ931-001T0101","24TG06_Rp_pR20_34","Rp_R20_pos",NA,"24TG06","Rp","R20","pos"
"Unknown_BZ931-001T0102","24TG06_Rp_pR20_35","Rp_R20_pos",NA,"24TG06","Rp","R20","pos"
"Unknown_BZ931-001T0103","24TG06_Rp_nR20_36","Rp_R20_neg",NA,"24TG06","Rp","R20","neg"
"Unknown_BZ931-001T0104","24TG06_Rp_nR20_37","Rp_R20_neg",NA,"24TG06","Rp","R20","neg"
"Unknown_BZ931-001T0105","24TG06_Rp_nR20_38","Rp_R20_neg",NA,"24TG06","Rp","R20","neg"
"Unknown_BZ931-001T0106","24TG06_Rp_nR20_39","Rp_R20_neg",NA,"24TG06","Rp","R20","neg"
"Unknown_BZ931-001T0107","24TG06_Rp_nR20_40","Rp_R20_neg",NA,"24TG06","Rp","R20","neg"
