Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,COG,Description,Name,KO,KEGG_Pathway,COG_root,abs_log2FoldChange,-log10(pvalue)
g10056,3548.83397621334,0.748414454194161,0.16481872679923,4.54083385261085,5.60321758508365e-06,0.0004056129186859,Rp_R20_pos_vs_Rp_R10_pos,"COG1997@1|root,KOG0402@2759|Eukaryota,3A5SK@33154|Opisthokonta,3P404@4751|Fungi,1GU4G@112252|Fungi incertae sedis",Ribosomal L37ae protein family,RPL43,K02921,"ko03010,map03010",COG1997,0.748414454194161,5.251562512608925
g10076,5319.75336135251,0.629099105350951,0.153396003334197,4.10114404337094,4.1111253705184e-05,0.0016566282333009,Rp_R20_pos_vs_Rp_R10_pos,"COG0096@1|root,KOG1754@2759|Eukaryota,3A1RU@33154|Opisthokonta,3P2XK@4751|Fungi,1GTDQ@112252|Fungi incertae sedis",Ribosomal protein S8,RPS22,K02957,"ko03010,map03010",COG0096,0.629099105350951,4.386039279022588
g10100,554.263866958684,0.805730876220656,0.153931767478676,5.23433784603476,1.65577356341669e-07,3.07161411861678e-05,Rp_R20_pos_vs_Rp_R10_pos,"2C28I@1|root,2SDQX@2759|Eukaryota,3ACZ8@33154|Opisthokonta,3P9RD@4751|Fungi,1GUYG@112252|Fungi incertae sedis",Cytochrome c oxidase subunit VII,-,-,-,,0.805730876220656,6.78099905576528
g10108,17.8857774310624,1.21049797329627,0.436863750235895,2.77088216324342,0.0055904654187628,0.0441594480019115,Rp_R20_pos_vs_Rp_R10_pos,"COG0249@1|root,KOG0221@2759|Eukaryota,38FDG@33154|Opisthokonta,3NVR7@4751|Fungi,1GWMC@112252|Fungi incertae sedis|293X8@1|root,2RAU4@2759|Eukaryota,3AX8I@33154|Opisthokonta,3Q24B@4751|Fungi,1GX02@112252|Fungi incertae sedis",DNA-binding domain of DNA mismatch repair MUTS family,-,K08741,-,COG0249|,1.21049797329627,2.2525520346204844
g1013,4163.95274676797,0.729136938796378,0.111293251730498,6.55149281253835,5.6964730224966495e-11,3.60818161540577e-08,Rp_R20_pos_vs_Rp_R10_pos,"COG1717@1|root,KOG0878@2759|Eukaryota,3A0DJ@33154|Opisthokonta,3P2W4@4751|Fungi,1GTVT@112252|Fungi incertae sedis",Ribosomal_L32e,RPL32,K02912,"ko03010,map03010",COG1717,0.729136938796378,10.244393955022428
g10219,1281.46861671165,0.889100452139721,0.218791013681536,4.06369730264089,4.83014568608946e-05,0.0018437330115131,Rp_R20_pos_vs_Rp_R10_pos,"2C0JP@1|root,2SAMB@2759|Eukaryota,3AA4Z@33154|Opisthokonta,3P7X3@4751|Fungi",Expressed protein,-,-,-,,0.889100452139721,4.3160397699295325
g10241,507.895585690416,0.758177609340422,0.161735840687562,4.68775261016546,2.76221640252848e-06,0.0002389695902788,Rp_R20_pos_vs_Rp_R10_pos,"KOG3499@1|root,KOG3499@2759|Eukaryota,3A8NK@33154|Opisthokonta,3P6UD@4751|Fungi,1GXKA@112252|Fungi incertae sedis",Ribosomal L38e protein family,RPL38,K02923,"ko03010,map03010",,0.758177609340422,5.558742300144635
g10250,340.005507002428,0.616475011638079,0.183566555136957,3.35831879166732,0.0007841811770809,0.0119239071854867,Rp_R20_pos_vs_Rp_R10_pos,"COG2443@1|root,KOG3498@2759|Eukaryota,3A8AD@33154|Opisthokonta,3P6RT@4751|Fungi,1GUJE@112252|Fungi incertae sedis",SecE/Sec61-gamma subunits of protein translocation complex,-,K07342,"ko03060,ko04141,ko04145,ko05110,map03060,map04141,map04145,map05110",COG2443,0.616475011638079,3.1055835864020547
g10264,148.570402493518,0.732877299787964,0.196204802502449,3.73526687645077,0.0001875162202337,0.0044951638544242,Rp_R20_pos_vs_Rp_R10_pos,-,-,-,-,-,-,0.732877299787964,3.72696115965193
g10271,48.9570099780477,0.96071612383927,0.214389892303642,4.48116333058556,7.42372692373798e-06,0.0004917369967883,Rp_R20_pos_vs_Rp_R10_pos,-,-,-,-,-,-,0.96071612383927,5.1293780116942225
g10401,3291.30878302713,0.834632683694004,0.244340124742507,3.41586419575404,0.0006357994637523,0.0103760220054717,Rp_R20_pos_vs_Rp_R10_pos,"KOG3791@1|root,KOG3791@2759|Eukaryota,39C70@33154|Opisthokonta,3Q196@4751|Fungi,1GWWZ@112252|Fungi incertae sedis",regulation of mRNA stability,-,-,-,,0.834632683694004,3.1966798427149157
g10409,8.12850565184225,2.88907473133713,0.650894943260731,4.43861910627848,9.05378775204458e-06,0.0005611964035051,Rp_R20_pos_vs_Rp_R10_pos,"2ESKY@1|root,2SV4Z@2759|Eukaryota,3AB87@33154|Opisthokonta,3P7E0@4751|Fungi,3V3ZG@5204|Basidiomycota,22AVS@155619|Agaricomycetes,3W9QW@5338|Agaricales",Transposase family tnp2,-,-,-,,2.88907473133713,5.043169690887408
