Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,COG,Description,Name,KO,KEGG_Pathway,COG_root,abs_log2FoldChange,-log10(pvalue)
g10024,950.563009498226,-0.802501504117784,0.28639910533205,-2.80203914459637,0.0050780711646482,0.0414068636765694,Rp_R20_pos_vs_Rp_R10_pos,"COG0466@1|root,KOG2004@2759|Eukaryota,38E0Y@33154|Opisthokonta,3NUKI@4751|Fungi,1GV9C@112252|Fungi incertae sedis",Subunit ChlI of Mg-chelatase,-,K01338,"ko04112,map04112",COG0466,0.802501504117784,2.294301217168981
g10041,9.55568401877265,-2.95316979453299,0.739228685339811,-3.99493398064696,6.47122828492322e-05,0.0022193794603571,Rp_R20_pos_vs_Rp_R10_pos,"COG0211@1|root,KOG4600@2759|Eukaryota,39YDY@33154|Opisthokonta,3NYA4@4751|Fungi,1GWGZ@112252|Fungi incertae sedis",Ribosomal L27 protein,MRPL2,"K00030,K02899","ko00020,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko03010,map00020,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map03010",COG0211,2.95316979453299,4.189013279341181
g10080,4214.06822659018,-0.706920217094849,0.242685499122201,-2.91290670292125,0.0035808156820065,0.0327122917261109,Rp_R20_pos_vs_Rp_R10_pos,"COG1012@1|root,KOG2450@2759|Eukaryota,38CDB@33154|Opisthokonta,3NW4N@4751|Fungi,1GWGN@112252|Fungi incertae sedis",Aldehyde dehydrogenase family,-,K00128,"ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",COG1012,0.706920217094849,2.4460180331762147
g10133,1171.33127578804,-0.643746245442231,0.216015517806283,-2.98009259695651,0.002881612625392,0.0284359329620602,Rp_R20_pos_vs_Rp_R10_pos,"COG3376@1|root,2RIYK@2759|Eukaryota,39TA4@33154|Opisthokonta,3NUY4@4751|Fungi,1GSBH@112252|Fungi incertae sedis",High-affinity nickel-transport protein,-,K07241,-,COG3376,0.643746245442231,2.5403644017184392
g10148,462.541036122783,-2.45408386519845,0.746561931328709,-3.28718055691742,0.001011959275083,0.0140681773296701,Rp_R20_pos_vs_Rp_R10_pos,-,-,-,-,-,-,2.45408386519845,2.9948369647320012
g10193,1207.1030155786,-0.676269268480369,0.20069305111307,-3.36966957614971,0.0007525836856638,0.0116710931329156,Rp_R20_pos_vs_Rp_R10_pos,"2F914@1|root,2RAWS@2759|Eukaryota,3AXB9@33154|Opisthokonta,3Q28S@4751|Fungi,1GX77@112252|Fungi incertae sedis",-,-,-,-,,0.676269268480369,3.123445200450094
g10203,542.137951616157,-1.17229848224031,0.307111064148361,-3.81718088044521,0.0001349852106579,0.0036736656276607,Rp_R20_pos_vs_Rp_R10_pos,"COG0015@1|root,KOG2700@2759|Eukaryota,38D20@33154|Opisthokonta,3NU0G@4751|Fungi,1GT2J@112252|Fungi incertae sedis",Adenylosuccinate lyase C-terminus,ADE13,K01756,"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130",COG0015,1.17229848224031,3.8697138113680225
g1023,42.6435923575896,-1.09594041317268,0.347946823642083,-3.14973535812478,0.0016341841978295,0.0196656856171066,Rp_R20_pos_vs_Rp_R10_pos,"KOG1075@1|root,KOG1075@2759|Eukaryota,3ADGB@33154|Opisthokonta,3PE4J@4751|Fungi,1GW87@112252|Fungi incertae sedis",Reverse transcriptase (RNA-dependent DNA polymerase),-,-,-,,1.09594041317268,2.786698993340713
g10257,3001.07518062554,-0.716273481683587,0.176663224614624,-4.05445719246933,5.02508512206818e-05,0.0018688706484256,Rp_R20_pos_vs_Rp_R10_pos,"COG4264@1|root,2RX6M@2759|Eukaryota,3A1MG@33154|Opisthokonta,3P3PT@4751|Fungi,1GTR9@112252|Fungi incertae sedis",Ferric iron reductase FhuF-like transporter,-,-,-,COG4264,0.716273481683587,4.298856577145008
g10281,78.4398201620201,-1.02053905965327,0.334226601682831,-3.05343456958501,0.0022623805196402,0.0244175669609092,Rp_R20_pos_vs_Rp_R10_pos,"COG0659@1|root,KOG0236@2759|Eukaryota,38EAT@33154|Opisthokonta,3NW17@4751|Fungi,1GRWT@112252|Fungi incertae sedis",Sulfate permease family,-,-,-,COG0659,1.02053905965327,2.645434347385135
g10297,134.981503859246,-0.697039453916876,0.22130881584724,-3.14962353057825,0.0016348097792884,0.0196656856171066,Rp_R20_pos_vs_Rp_R10_pos,"COG5020@1|root,KOG4472@2759|Eukaryota,38CI7@33154|Opisthokonta,3NUKP@4751|Fungi|COG5020@1|root,KOG4472@2759|Eukaryota,38CI7@33154|Opisthokonta,3NUKP@4751|Fungi,3QKJ7@4890|Ascomycota,20Z81@147548|Leotiomycetes",glycosyltransferase family 15 protein|Glycolipid 2-alpha-mannosyltransferase,KRE2,K10967,"ko00514,map00514",COG5020,0.697039453916876,2.7865327730412575
g10298,59.5897779799372,-2.08497791984862,0.484853936987325,-4.30021860357323,1.70629709946879e-05,0.0008878785041467,Rp_R20_pos_vs_Rp_R10_pos,"KOG0252@1|root,KOG0252@2759|Eukaryota,38H3A@33154|Opisthokonta,3NTWV@4751|Fungi,1GS8D@112252|Fungi incertae sedis",Sugar (and other) transporter,-,-,-,,2.08497791984862,4.767945347479151
g10300,13.0788388268352,-1.33319054029288,0.432633127400479,-3.08157294450264,0.0020591001851332,0.0228689872068305,Rp_R20_pos_vs_Rp_R10_pos,"2CDWM@1|root,2RAT7@2759|Eukaryota,3AX7J@33154|Opisthokonta,3Q22M@4751|Fungi,1GWWF@112252|Fungi incertae sedis",-,-,-,-,,1.33319054029288,2.6863225223513623
g10326,992.177945305713,-1.13006188244849,0.249896310903166,-4.52212310923782,6.12224328144198e-06,0.0004294267872944,Rp_R20_pos_vs_Rp_R10_pos,-,-,-,-,-,-,1.13006188244849,5.213089416703967
g10328,14.4680130837851,-2.32709252067518,0.636314163881958,-3.65714399075812,0.0002550411256569,0.0054940502199283,Rp_R20_pos_vs_Rp_R10_pos,-,-,-,-,-,-,2.32709252067518,3.593389783465046
g10375,6.16823318252647,-1.59864882953203,0.574899103924198,-2.7807467755991,0.0054234022541288,0.0433124272218037,Rp_R20_pos_vs_Rp_R10_pos,"2CYJV@1|root,2S4UE@2759|Eukaryota,3AUYA@33154|Opisthokonta,3P9KH@4751|Fungi",-,-,-,-,,1.59864882953203,2.2657281827174742
g10387,150.158801848568,-0.63201833538137,0.205560427825642,-3.0746109164428,0.0021077733035775,0.0233073961212294,Rp_R20_pos_vs_Rp_R10_pos,"2CJ2D@1|root,2QS3W@2759|Eukaryota,3A2KF@33154|Opisthokonta,3P3RG@4751|Fungi,1GTJX@112252|Fungi incertae sedis",Sucrase/ferredoxin-like,-,-,-,,0.63201833538137,2.6761761004327385
