Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,COG,Description,Name,KO,KEGG_Pathway,COG_root,abs_log2FoldChange,-log10(pvalue)
g1,15.8415214998239,0.94381055812125,0.339602573545598,2.77916197238277,0.0054499342584781,0.0350532083612398,Rp_R10_pos_vs_pIND,"COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta",retrotransposable element Tf2 155 kDa protein type 1-like,-,-,-,COG2801,0.94381055812125,2.2636087365036137
g10008,217.210296768646,1.17745531595919,0.337966469769103,3.483941222819,0.000494087981623,0.0060074957358807,Rp_R10_pos_vs_pIND,"2F91I@1|root,2TA4D@2759|Eukaryota,394ZT@33154|Opisthokonta,3Q236@4751|Fungi,1GWXQ@112252|Fungi incertae sedis",-,-,-,-,,1.17745531595919,3.306195709920121
g10024,950.563009498226,1.08828236623936,0.248052560537147,4.38730551252014,1.14763535005819e-05,0.0003498337162691,Rp_R10_pos_vs_pIND,"COG0466@1|root,KOG2004@2759|Eukaryota,38E0Y@33154|Opisthokonta,3NUKI@4751|Fungi,1GV9C@112252|Fungi incertae sedis",Subunit ChlI of Mg-chelatase,-,K01338,"ko04112,map04112",COG0466,1.08828236623936,4.940196082856539
g10025,538.880947505903,-0.649259752939666,0.154839761522933,-4.19310741991492,2.75159064408208e-05,0.0006668579082352,Rp_R10_pos_vs_pIND,"COG0604@1|root,KOG0025@2759|Eukaryota,38GDB@33154|Opisthokonta,3NTWX@4751|Fungi,1GT4D@112252|Fungi incertae sedis",Zinc-binding dehydrogenase,ETR1,K07512,"ko00062,ko01100,ko01212,map00062,map01100,map01212",COG0604,0.649259752939666,4.560416175901617
g10041,9.55568401877265,1.79852271336212,0.588933941328815,3.05386154057295,0.0022591632226743,0.0184721831910036,Rp_R10_pos_vs_pIND,"COG0211@1|root,KOG4600@2759|Eukaryota,39YDY@33154|Opisthokonta,3NYA4@4751|Fungi,1GWGZ@112252|Fungi incertae sedis",Ribosomal L27 protein,MRPL2,"K00030,K02899","ko00020,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko03010,map00020,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map03010",COG0211,1.79852271336212,2.6460523905289706
g10086,878.665332407982,0.707994362224978,0.258879571122005,2.73484060235604,0.0062410489934143,0.0382759515436183,Rp_R10_pos_vs_pIND,"28NVA@1|root,2TA1W@2759|Eukaryota,394WF@33154|Opisthokonta,3Q1ZG@4751|Fungi,1GWM7@112252|Fungi incertae sedis",Fungal specific transcription factor domain,-,-,-,,0.707994362224978,2.2047424081119606
g10116,83.5796936788504,0.660287648103273,0.196370619726444,3.36245640525601,0.0007725232305182,0.0083074850092618,Rp_R10_pos_vs_pIND,-,-,-,-,-,-,0.660287648103273,3.112088452053065
g10142,483.948807530656,-0.610380163627321,0.175388716620302,-3.4801563942607,0.0005011211634094,0.0060724259897153,Rp_R10_pos_vs_pIND,"2D8DK@1|root,2T9TK@2759|Eukaryota,394JB@33154|Opisthokonta,3Q1NT@4751|Fungi,1GVBH@112252|Fungi incertae sedis",GDSL-like Lipase/Acylhydrolase,-,-,-,,0.610380163627321,3.3000572556932903
g10143,65.9356879224305,0.752144071889352,0.285944050569983,2.63038895332872,0.0085287227752322,0.0477861605950985,Rp_R10_pos_vs_pIND,"COG0507@1|root,COG1599@1|root,KOG0851@2759|Eukaryota,KOG0987@2759|Eukaryota,37Q72@33090|Viridiplantae,3GCCF@35493|Streptophyta,4JS2N@91835|fabids",Belongs to the helicase family,-,-,-,"COG0507,COG1599",0.752144071889352,2.0691160020330455
g10148,462.541036122783,1.83206185999019,0.645946819347162,2.83624255916577,0.0045647763087902,0.030805440872209,Rp_R10_pos_vs_pIND,-,-,-,-,-,-,1.83206185999019,2.3405804996714856
